;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;1.;PERSIAPAN LAPANGAN / SITE WORK ;;;;;;
;1.1;PEKERJAAN PERSIAPAN;;;;;;
;1.1.1;Pembuatan Pagar Proyek;;;;;;
;1.1.1.1;Pembuatan 1 m’ pagar sementara dari kayu tinggi 2 meter;m'; Rp787.397,00 ; -; -;;
;1.1.1.2;Pembuatan 1 m’ pagar sementara dari seng gelombang rangka kayu tinggi 2 meter;m'; Rp635.526,00 ;Revisi;tidak ada perubahan;;
;1.1.1.3;Pembuatan 1 m’ pagar sementara dari kawat duri tinggi 2 meter;m'; Rp378.239,00 ;Revisis;tidak ada perubahan;;
;1.1.1.4;Pembuatan 1 m’ pagar sementara  seng gelombang rangka baja L.40.40.4 tinggi pagar 1.8 meter;m'; Rp428.906,00 ; -; -;;
;1.1.1.5;Pembuatan 1 m2 pagar BRC Galvanis;m2; Rp17.431,00 ; -; -;;
;1.1.1.6;Pemasangan 1 m2 panel beton pracetak 50x50x240 untuk pagar;m2; Rp484.982,00 ;Revisi;tidak ada perubahan ;;
;1.1.2;Alat dan/atau sarana penunjang;; Rp- ;0;0;;
;1.1.2.1;1 buah papan nama pekerjaan ukuran 0.8x1.2 menggunakan multiflex 18 mm, frame besi siku dan tiang kayu 8/12;buah; Rp1.909.085,00 ; -; -;;
;1.1.2.2;1 buah papan nama pekerjaan ukuran 0.6x08 menggunakan multiplex 10 mm, frame allumunium siku dan tiang kayu 5/7, printing banner plastik;buah; Rp702.576,00 ; -; -;;
;1.1.2.3;Pembuatan 1 m2 kantor sementara/rumah jaga/gudang semen dan peralatan lantai plesteran, dinding setengah tembok;m2; Rp3.501.283,00 ; -; -;;
;1.1.2.4;Pembuatan 1 m2 direksi keet (Kantor), los kerja dan gudang;m2; Rp5.699.688,00 ;Revisi;tidak ada perbahan ;;
;1.1.2.5;Pembuatan 1 m2 jalan sementara lapis macadam;m2; Rp1.368.398,00 ; -; -;;
;1.1.2.6;Pembuatan 1 m2 jalan sementara (Jalan Tanah);m2; Rp1.281.336,00 ; -; -;;
;1.1.2.7;Pembuatan 1 m2 jalan sementara (Jalan Kerikil);m2; Rp1.343.259,00 ; -; -;;
;1.1.3;Pembersihan dan Pengupasan Permukaan Tanah ;;;;;;
;1.1.3.1 ;1 m3 Pembersihan dan pengupasan permukaan tanah (striping) s.d. tanaman ∅ 2 cm ;m2; Rp12.100,00 ; -; -;;
;1.1.3.2;Tebas tebang 1 m2 tanaman/tumbuhan ∅ < 5 cm ;m2; Rp3.960,00 ; -; -;;
;1.1.3.3.;"Tebas tebang 1 m
2
 tanaman/tumbuhan ∅ >5 s.d. 15 cm";m2; Rp6.600,00 ; -; -;;
;1.1.3.4 ;Tebas tebang 1 batang pohon/tumbuhan ∅ >15 s.d. 30 cm;btg; Rp22.341,00 ; -; -;;
;1.1.3.5;Tebas tebang 1 batang pohon/tumbuhan ∅ > 30 s.d 50 cm;btg; Rp22.209,00 ; -; -;;
;1.1.3.6 ;Tebas tebang 1 batang pohon/tumbuhan ∅ > 50 s.d 75 cm (diameter pohon diukur 1 m di atas permukaan tanah);btg; Rp48.840,00 ; -; -;;
;1.1.3.7;Tebas tebang 1 batang pohon/tumbuhan ∅ > 75 cm (diameter pohon diukur 1 m di atas permukaan tanah);btg; Rp62.700,00 ;-; -;;
;1.1.3.8;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 5 s.d. 15 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang);tgl; Rp48.565,00 ; -; -;;
;1.1.3.9;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm  s.d. 30 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang) ;tgl; Rp68.321,00 ; -; -;;
;1.1.3.10;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 30 cm  s.d. 50 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang);tgl; Rp96.679,00 ; -; -;;
;1.1.3.11 ;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 50 cm  s.d. 75 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang);tgl; Rp149.985,00 ; -; -;;
;1.1.3.12;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 75 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang);tgl; Rp218.229,00 ; -; -;;
;1.1.3.13;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 5 s.d. 15 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang);tgl; Rp49.599,00 ; -; -;;
;1.1.3.14;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 30 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang);tgl; Rp79.145,00 ; -; -;;
;1.1.3.15;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 50 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang);Ha; Rp113.289,00 ;-; -;;
;1.1.3.16;Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 75 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang);m'; Rp177.705,00 ; -; -;;
;1.1.3.17;Gali dan cabut 1 tunggul pohon tanaman keras ∅ >  75 cm (termasuk pembuangan sisa tunggul dengan menutup kembali bekas lubang);m'; Rp271.920,00 ;-; -;;
;1.1.4 ;Pengukuran dan Pasangan Bouwplank ;; Rp- ;0;0;;
;1.1.4.1;Pengukuran ulang topografi seluas 1 Ha;Ha; Rp3.277.091,00 ; -; -;;
;1.1.4.2;Pasangan 1 m' bouwplank;m'; Rp171.528,00 ;-; -;;
;1.1.4.3;Patok Kayu (kaso5/7) Panjang 0,5 m' ;m'; Rp191.337,00 ; -; -;;
;1.1.4.4;1 Buah Patok Kayu (Kaso 5/7) panjang 1 m';m'; Rp85.540,00 ;-; -;;
;1.1.4.5;Patok Tetap Bantu (PTB);m'; Rp144.262,00 ; -; -;;
;1.1.4.6;Patok Tetap Utama (PTU);m'; Rp215.837,00 ; -; -;;
;1,2;PEKERJAAN GALIAN TANAH;;;;;;
;1.2.1 ;Tanah Biasa ;;;;;;
;1.2.1.1;Cara Manual ;;;;;;
;1.2.1.1.1;"Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume s.d. 200 m3 secara manual 
";m3; Rp90.860,00 ;0;0;;
;1.2.1.1.2;Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume 200 m3 s.d 2.000 m3 secara manual;m3; Rp74.316,00 ;0;0;;
;1.2.1.1.3;Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume > 2.000 m3 secara Manual;m3; Rp52.800,00 ;0;0;;
;1.2.1.1.4;Penggalian 1 m3 tanah biasa sedalam > 1 s.d. 2 m untuk volume s.d 200 m3 secara manual ;m3; Rp108.900,00 ;0;0;;
;1.2.1.1.5;"Penggalian 1 m3 tanah biasa sedalam > 1 s.d. 2 m untuk volume > 200 m3 secara manual 
";m3; Rp89.100,00 ;0;0;;
;1.2.1.1.6;Penggalian 1 m3 tanah biasa sedalam > 2 s.d. 3 m untuk volume s.d 200 m3 secara manual;m3; Rp130.240,00 ;0;0;;
;1.2.1.1.7;Penggalian 1 m3 tanah biasa sedalam > 2 s.d. 3 m untuk volume > 200 m3 secara manual;m3; Rp100.320,00 ;0;0;;
;1.2.1.1.8;Penggalian 1 m3 tanah biasa sedalam > 3 m, setiap penambahan kedalaman 1 m secara manual;m3; Rp9.900,00 ;0;0;;
;1.2.1.2;Cara Semi Mekanis ;;;0;0;;
;1.2.1.2.1;Penggalian 1 m3 tanh biasa sedalam > 0 s.d 1 m secara semi mekanis ;m3; Rp131.670,00 ;0;0;;
;1.2.1.2.2;Penggalian 1 m3 tanah biasa sedalam >1 s.d 2 m secara semi mekanis ;m3; Rp143.726,00 ;0;0;;
;1.2.1.2.3;Penggalian 1 m3 tanah biasa sedalam >2 s.d 3 m secara semi mekanis ;m3; Rp159.500,00 ;0;0;;
;1.2.1.2.4;Penggalian 1 m3 tanah biasa > 3 m untuk setiap  penambahan kedalaman 1 m secara semi mekanis ;m3; Rp17.490,00 ;0;0;;
;1.2.2 ;Pasir ;;;;;;
;1.2.2.1 ;Cara Manual ;;;;;;
;1.2.2.1.1 ;Penggalian 1 m3 pasir sedalam >0 s.d 1 m secara manual ;m3; Rp87.120,00 ;0;0;;
;1.2.2.1.2;Penggalian 1 m3 pasir sedalam > 1 s.d 2 m secara manual ;m3; Rp89.760,00 ;0;0;;
;1.2.2.1.3;Penggalian 1 m3 pasir sedalam > 2 s.d 3 m secara manual ;m3; Rp121.440,00 ;0;0;;
;1.2.2.1.4;Penggalian 1 m3 pasir sedalam >  3 m  tiap tambahan dalam 1 msecara manual ;m3; Rp13.200,00 ;0;0;;
;1.2.2.2;Cara Semi Mekanis ;;;0;0;;
;1.2.2.2.1;Penggalian 1 m3 pasir sedalam >  0 s.d 1 m secara semi mekanis ;m3; Rp45.320,00 ;0;0;;
;1.2.2.2.2;Penggalian 1 m3 pasir sedalam >  1 s.d 2 m secara semi mekanis ;m3; Rp51.920,00 ;0;0;;
;1.2.2.2.3;Penggalian 1 m3 pasir sedalam >  2 s.d 3 m secara semi mekanis ;m3; Rp59.136,00 ;0;0;;
;1.2.2.2.4;Penggalian 1 m3 pasir sedalam >   3 m secara semi mekanis untuk setiap tambahan dalm 1 m;m3; Rp8.756,00 ;0;0;;
;1.2.3;Tanah Berbatu ;;;;;;
;1.2.3.1;Cara Manual ;;;0;0;;
;1.2.3.1.1;Penggalian 1 m3 tanah berbatu sedalam > 0 s.d 1 m secara Manual ;m3; Rp151.582,00 ;0;0;;
;1.2.3.1.2;Penggalian 1 m3 tanah berbatu sedalam > 1 s.d 2 m secara Manual ;m3; Rp198.000,00 ;0;0;;
;1.2.3.1.3;Penggalian 1 m3 tanah berbatu sedalam > 2 s.d 3 m secara Manual ;m3; Rp217.800,00 ;0;0;;
;1.2.3.1.4;Penggalian 1 m3 tanah berbatu sedalam >3 m, setiap tambah dalam 1 m secara Manual ;m3; Rp18.480,00 ;0;0;;
;1.2.3.2 ;Cara Semi Mekanis ;;;0;0;;
;1.2.3.2.1;Penggalian 1 m3 tanah berbatu sedalam > 0 s.d 1 m secara semi mekanis ;m3; Rp231.176,00 ;0;0;;
