id,reference_group_id,code,name,unit_price
1,,3.6.4.1,"Dinding Bata Ringan Tebal 7,5 cm",104864.3922
2,,3.6.4.1.A,"Dinding Bata Ringan Tebal 7,5 cm",111908.1422
3,,3.6.4.1.B,"Dinding Bata Ringan Tebal 7,5 cm",109392.5172
4,,3.6.4.1.C,"Dinding Bata Ringan Tebal 7,5 cm",105367.5172
5,,3.6.4.1.D,"Dinding Bata Ringan Tebal 7,5 cm",134045.6422
6,,3.6.4.2,Dinding Bata Ringan Tebal 10 cm,123651.0797
7,,3.6.4.2A,Dinding Bata Ringan Tebal 10 cm,133039.3922
8,,3.6.4.2B,Dinding Bata Ringan Tebal 10 cm,129688.5797
9,,3.6.4.2C,Dinding Bata Ringan Tebal 10 cm,127676.0797
10,,3.6.4.2D,Dinding Bata Ringan Tebal 10 cm,159201.8922
11,,1.1.1.1,Pembuatan 1 m’ pagar sementara dari kayu tinggi 2 meter,787397.193
12,,1.1.1.2,Pembuatan 1 m’ pagar sementara dari seng gelombang rangka kayu tinggi 2 meter,635526.969
13,,1.1.1.3,Pembuatan 1 m’ pagar sementara dari kawat duri tinggi 2 meter,378239.8895
14,,1.1.1.4,Pembuatan 1 m’ pagar sementara seng gelombang rangka baja L.40.40.4 tinggi pagar 1.8 meter,428906.5
15,,1.1.1.5,Pembuatan 1 m2 pagar BRC Galvanis,17431.7
16,,1.1.1.6,panel beton pracetak 50x50x240 untuk pagar,428436.646
17,,1.1.2.1,"1 buah papan nama pekerjaan ukuran 0.8x1.2 menggunakan multiflex 18 mm, frame besi siku dan tiang kayu 8/12",1909085.2
18,,1.1.2.2,"1 buah papan nama pekerjaan ukuran 0.6x08 menggunakan multiplex 10 mm, frame allumunium siku dan tiang kayu 5/7, printing banner plastik",702576.6
19,,1.1.2.3,"Pembuatan 1 m2 kantor sementara/rumah jaga/gudang semen dan peralatan lantai plesteran, dinding setengah tembok",3460594.5
20,,1.1.2.4,"Pembuatan 1 m2 direksi keet (Kantor), los kerja dan gudang",5699688.5
21,,1.1.2.5,Pembuatan 1 m2 jalan sementara lapis macadam,1588946.018
22,,1.1.3.1,1 m3 Pembersihan dan pengupasan permukaan tanah (striping) s.d. tanaman ∅ 2 cm,12100.0
23,,1.1.3.2,Tebas tebang 1 m2 tanaman/tumbuhan ∅ < 5 cm,3960.0
24,,1.1.3.3,Tebas tebang 1 m 2 tanaman/tumbuhan ∅ >5 s.d. 15 cm,6600.0
25,,1.1.3.4,Tebas tebang 1 batang pohon/tumbuhan ∅ >15 s.d. 30 cm,22341.0
26,,1.1.3.5,Tebas tebang 1 batang pohon/tumbuhan ∅ > 30 s.d 50 cm,22209.0
27,,1.1.3.6,Tebas tebang 1 batang pohon/tumbuhan ∅ > 50 s.d 75 cm (diameter pohon diukur 1 m di atas permukaan tanah),48840.0
28,,1.1.3.7,Tebas tebang 1 batang pohon/tumbuhan ∅ > 75 cm (diameter pohon diukur 1 m di atas permukaan tanah),62700.0
29,,1.1.3.8,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 5 s.d. 15 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang),48565.0
30,,1.1.3.9,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 30 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang),68321.0
31,,1.1.3.10,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 30 cm s.d. 50 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang),96679.0
32,,1.1.3.11,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 50 cm s.d. 75 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang),149985.0
33,,1.1.3.12,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 75 cm (termasuk pembuangan sisa tunggul tanpa menutup kembali bekas lubang),218229.0
34,,1.1.3.13,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 5 s.d. 15 cm (termasuk pembuangan sisa tunggul,49599.0
35,,1.1.3.14,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 30 cm (termasuk pembuangan sisa tunggul,79145.0
36,,1.1.3.15,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 50 cm (termasuk pembuangan sisa tunggul,113289.0
37,,1.1.3.16,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 15 cm s.d. 75 cm (termasuk pembuangan sisa tunggul,177705.0
38,,1.1.3.17,Gali dan cabut 1 tunggul pohon tanaman keras ∅ > 75 cm (termasuk pembuangan sisa tunggul,271920.0
39,,1.1.4.1,Pengukuran ulang topografi seluas 1 Ha,3277091.312
40,,1.1.4.2,Pasangan 1 m' bouwplank,171363.06
41,,1.1.4.3,"Patok Kayu (kaso5/7) Panjang 0,5 m'",191227.96
42,,1.1.4.4,1 Buah Patok Kayu (Kaso 5/7) panjang 1 m',85540.07
43,,1.1.4.5,Patok Tetap Bantu (PTB),54285.0
44,,1.1.4.6,Patok Tetap Utama (PTU),30353.95
45,,1.2.1.1.1,Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume s.d. 200 m3 secara manual,90860.0
46,,1.2.1.1.2,Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume 200 m3 s.d 2.000 m3 secara manual,74316.0
47,,1.2.1.1.3,Penggalian 1 m3 tanah biasa sedalam 0 s.d. 1 m untuk volume > 2.000 m3 secara Manual,52800.0
48,,1.2.1.1.4,Penggalian 1 m3 tanah biasa sedalam > 1 s.d. 2 m untuk volume s.d 200 m3 secara manual,108900.0
49,,1.2.1.1.5,Penggalian 1 m3 tanah biasa sedalam > 1 s.d. 2 m untuk volume > 200 m3 secara manual,89100.0
50,,1.2.1.1.6,Penggalian 1 m3 tanah biasa sedalam > 2 s.d. 3 m untuk volume s.d 200 m3 secara manual,130240.0
51,,1.2.1.1.7,Penggalian 1 m3 tanah biasa sedalam > 2 s.d. 3 m untuk volume > 200 m3 secara manual,100320.0
52,,1.2.1.1.8,"Penggalian 1 m3 tanah biasa sedalam > 3 m, setiap penambahan kedalaman 1 m secara manual",9900.0
53,,1.2.1.2.1,Penggalian 1 m3 tanh biasa sedalam > 0 s.d 1 m secara semi mekanis,131670.0
54,,1.2.1.2.2,Penggalian 1 m3 tanah biasa sedalam >1 s.d 2 m secara semi mekanis,143726.0
55,,1.2.1.2.3,Penggalian 1 m3 tanah biasa sedalam >2 s.d 3 m secara semi mekanis,159500.0
56,,1.2.1.2.4,Penggalian 1 m3 tanah biasa > 3 m untuk setiap penambahan kedalaman 1 m secara semi mekanis,17490.0
57,,1.2.2.1.1,Penggalian 1 m3 pasir sedalam >0 s.d 1 m secara manual,87120.0
58,,1.2.2.1.2,Penggalian 1 m3 pasir sedalam > 1 s.d 2 m secara manual,89760.0
59,,1.2.2.1.3,Penggalian 1 m3 pasir sedalam > 2 s.d 3 m secara manual,121440.0
60,,1.2.2.1.4,Penggalian 1 m3 pasir sedalam > 3 m tiap tambahan dalam 1 msecara manual,13200.0
61,,1.2.2.2.1,Penggalian 1 m3 pasir sedalam > 0 s.d 1 m secara semi mekanis,45320.0
62,,1.2.2.2.2,Penggalian 1 m3 pasir sedalam > 1 s.d 2 m secara semi mekanis,51920.0
63,,1.2.2.2.3,Penggalian 1 m3 pasir sedalam > 2 s.d 3 m secara semi mekanis,59136.0
64,,1.2.2.2.4,Penggalian 1 m3 pasir sedalam > 3 m secara semi mekanis untuk setiap tambahan dalm 1 m,8756.0
65,,1.2.3.1.1,Penggalian 1 m3 tanah berbatu sedalam > 0 s.d 1 m secara Manual,151582.2
66,,1.2.3.1.2,Penggalian 1 m3 tanah berbatu sedalam > 1 s.d 2 m secara Manual,198000.0
67,,1.2.3.1.3,Penggalian 1 m3 tanah berbatu sedalam > 2 s.d 3 m secara Manual,217800.0
68,,1.2.3.1.4,"Penggalian 1 m3 tanah berbatu sedalam >3 m, setiap tambah dalam 1 m secara Manual",18480.0
69,,1.2.3.2.1,Penggalian 1 m3 tanah berbatu sedalam > 0 s.d 1 m secara semi mekanis,231176.0
70,,1.2.3.2.2,Penggalian 1 m3 tanah berbatu sedalam > 1 s.d 2 m secara semi mekanis,252010.0
71,,1.2.3.2.3,Penggalian 1 m3 tanah berbatu sedalam > 2 s.d 3 m secara semi mekanis,279048.0
72,,1.2.3.2.4,"Penggalian 1 m3 tanah berbatu sedalam > 3 , setiap tambahan dalam 1 m secara semi mekanis",31130.0
73,,1.2.4.1.1,Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m untuk volume s.d 200m3 secara manual,181500.0
74,,1.2.4.1.2,Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m untuk volume > 200 m3 secara manual,140250.0
75,,1.2.4.1.3,Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m untuk volume s.d 200 m3 secara manual,178200.0
76,,1.2.4.1.4,Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m untuk volume > 200 m3 secara manual,183744.0
