id,code,name,unit,unit_price
1,E.01,Wheel Loader,jam,472400.0
2,E.02,Dump Truck 1,jam,556100.0
3,E.03,Dump Truck 2,jam,556100.0
4,E.04,Dump Truck 3,jam,556100.0
5,E.05,Three Wheel Roller,jam,262300.0
6,E.06,Asphalt Distributor,jam,307300.0
7,E.07,"Chainsaw 20”; 5,5HP",hari,300000.0
8,E.08,"Chainsaw 30”; 7,5HP",hari,300000.0
9,E.09,Waterpass,hari,75000.0
10,E.10,Theodolit,hari,150000.0
11,E.11,Jack hammer + genset,hari,2300000.0
12,E.12,Pompa Sedot Pasir,hari,280000.0
13,E.13,Pompa Lumpur,hari,260000.0
14,E.14,Stamper Kuda,hari,290000.0
15,E.15,Stamper kodok 150 kg,hari,350000.0
16,E.16,Stamper D-Drum,hari,310000.0
17,E.17,Stamper Smooth_Drum,hari,350000.0
18,E.18,Mobil Sedot Lumpur,Jam,67500.0
19,E.19,Mesin Las Gotextile,hari,25000.0
20,E.20,Flat deck truck 7 ton,hari,2700000.0
21,E.21,Sewa Tripot,hari,108000.0
22,E.22,Palu/godam (baja keras),buah,25000.0
23,E.23,Pahat beton (baja keras),buah,15000.0
24,E.24,Linggis (baja keras),buah,30000.0
25,E.25,Gergaji besi,buah,3500.0
26,E.26,Jack hammer,hari,350000.0
27,E.27,Hoist 1 ton,hari,180000.0
28,E.28,Cutter baja beton,hari,800000.0
29,E.29,Bender baja beton,hari,850000.0
30,E.30,Tower crane arm 30 m,hari,3442900.0
31,E.31,Molen beton mixer 350 liter,hari,300000.0
32,E.32,"Pompa beton φ 1,5"";5 KW; 8 bar; T = 5 m'",hari,6000000.0
33,E.33,"Pompa beton ∅ 2,5"",20 KW; 20 bar, T = 18 m'",hari,6300000.0
34,E.34,"Pompa beton ∅ 2,5"", 75KW; 120 bar, T= 50 m'/H=80 m’",hari,6600000.0
35,E.35,"Pompa beton ∅ 3"",140KW; 180 bar, T = 75 m' / H=150 m'",hari,8000000.0
36,E.36,Concrete vibrator,hari,800000.0
37,E.37,Pressure grout machine 30 KW; 60 -75 bar (D),jam,42000.0
38,E.38,Mesin bor (jam),jam,85000.0
39,E.39,"Stang bor, batang bor dia. 1-1/4""",hari,95000.0
40,E.40,Mata bor auger 20 cm,hari,100000.0
41,E.41,Sewa casing PVC dia. 20 cm,m',25000.0
42,E.42,Mata bor auger 30 cm,hari,170000.0
43,E.43,Sewa casing pipa baja dia. 30 cm,m',30700.0
44,E.44,Mata bor auger 40 cm,hari,250000.0
45,E.45,Sewa casing pipa baja dia. 40 cm,m',43500.0
46,E.46,Mata bor auger 50 cm,hari,340000.0
47,E.47,Sewa casing pipa baja dia. 50 cm,m',55800.0
48,E.48,Bore Pile Machine,jam,476900.0
49,E.49,Sepatu pancang beton,buah,124500.0
50,E.50,Crawler Crane 10 ton + Ladder 14 ton,jam,500000.0
51,E.51,Driver Hammer,jam,50000.0
52,E.52,Sepatu Pancang,buah,124500.0
53,E.53,Driver Hammer 2 ton,jam,50000.0
54,E.54,Sepatu pancang dia. 30 cm,buah,135000.0
55,E.55,Sepatu pancang dia. 35 cm,buah,140000.0
56,E.56,Crawler Crane 20 ton + Ladder 14 ton,jam,550000.0
57,E.57,Sewa mobil crane,jam,1450000.0
58,E.58,Kunci momen,hari,20000.0
59,E.59,Crane,unit hari,3442900.0
60,E.60,Sewa Pipe Support,buah hari,850.0
61,E.61,- Scaffolding Pipe brancing 6 m,buah hari,586.6666666666666
62,E.62,Mesin poles,unit/hari,150000.0
63,E.63,Sewa Scaffolding,hari,586.6666666666666
64,E.64,Sewa Gondola,hari,322000.0
65,E.65,Compressor,jam,92500.0
66,E.66,Colt T-120 (D); R-Blk. 4; 12 m3,Jam,314110.76
67,E.67,Fuso (D); R-Blk. 8; 35 m3,Jam,418543.76
68,E.68,Crane Truck 3 ton; Winch 5 Ton,Jam,430662.86
69,E.69,Pick Up L300,Jam,268539.71
70,E.70,Sewa crane kapasitas 1 ton,m3,430000.0
71,E.71,Anti Rayap tanah,kg,28500.0
72,E.72,Sewa Mesin Hydroseeding 2000L,hari,350000.0
73,E.73,Mesin Molen 1m3,hari,300000.0
74,E.74,Water Truck,hari,1550000.0
75,E.75,Sprayer Gendong,hari,350000.0
76,E.76,Mesin Gendong,Jam,150000.0
77,E.77,Boom Lift,hari,3300000.0
78,E.78,Tandon Air kap. 2 m3,hari,25000.0
79,E.79,AMP,jam,3981125.0
80,E.80,Generator set  135 KVA,jam,410200.0
81,E.81,Asphalt Finisher,jam,450000.0
82,E.82,Tandem roller 6-8 ton,jam,469500.0
83,E.83,P. Tyre Roller,jam,275000.0
84,E.84,Excavator 95 HP,jam,480000.0
85,E.85,Excavator,hari,5150000.0
86,E.86,Sewa Genset,hari,150000.0
87,E.87,Pompa Sedot,hari,280000.0
