id,code,name,unit,brand,unit_price
1,M.01,"Bata Ringan Tebal 7,5 cm",buah/bh,Blescon,5600.0
2,M.02,Mortar Perekat Bata Ringan,kg,,3332.0
3,M.03,"Bata Ringan Tebal 7,5 cm",buah/bh,Citicon,6300.0
4,M.04,"Bata Ringan Tebal 7,5 cm",buah/bh,Grand Elephant,6050.0
5,M.05,"Bata Ringan Tebal 7,5 cm",buah/bh,Focon,5650.0
6,M.06,"Bata ringan tebal 7,5 cm",buah/bh,,8500.0
7,M.07,Bata Ringan Tebal 10 cm,buah/bh,Blescon,7467.0
8,M.08,Bata Ringan Tebal 10 cm,buah/bh,Citicon,8400.0
9,M.09,Bata Ringan Tebal 10 cm,buah/bh,Grand Elephant,8067.0
10,M.10,Bata Ringan Tebal 10 cm,buah/bh,Focon,7867.0
11,M.11,Bata ringan tebal 10 cm,buah/bh,,11000.0
12,M.12,Kaso 5/7 kayu kelas II,m3,,10214200.0
13,M.13,Papan Kayu ukuran 2/20 cm,m3,,2500000.0
14,M.14,Paku biasa 5 inchi,kg,,20000.0
15,M.15,Semen Portland (PC),kg,,1300.0
16,M.16,Pasir Beton,kg,,300.0
17,M.17,Kerikil,kg,,210.0
18,M.18,Air,liter,,200.0
19,M.19,Residu,liter,,21000.0
20,M.20,Seng gelombang,lembar,,85000.0
21,M.21,Kawat duri,m',,1750.0
22,M.22,Seng gelombang bjls  30 panjang 180 cm,lembar,,73300.0
23,M.23,Baja L 40.40.4,kg,,14840.0
24,M.24,Kawat seng 3mm,kg,,18800.0
25,M.25,Pasangan batu ukuran 20/50 t=40cm,m3,,286500.0
26,M.26,Kawat jaring panjang 240 cm,lembar,,300000.0
27,M.27,Panel beton pracetak,lembar,,125000.0
28,M.28,Kolom beton pracetak,batang,,282000.0
29,M.29,Multiplek tebal 18 mm,lembar,,226600.0
30,M.30,Tiang kayu 8/12 kelas II tinggi 4m,m3,,11950000.0
31,M.31,Frame besi L.30.30.3,kg,,14840.0
32,M.32,Paku campuran 5 cm + 7 cm,kg,,20000.0
33,M.33,Cat kayu,kg,,50000.0
34,M.34,Multiplek tebal 9 mm,lembar,,116700.0
35,M.35,Tiang kayu 5/7 kelas II tinggi 3m,m3,,11950000.0
36,M.36,Frame Allum L.10.1,kg,,25000.0
37,M.37,Banner plastik 0.6x0.8 m2,m2,,100000.0
38,M.38,Dolken kayu φ 8-10 panjang 400 cm,m',,5000.0
39,M.39,Kayu,m3,,11950000.0
40,M.40,Besi strip,kg,,7500.0
41,M.41,Pasir pasang,m3,,200000.0
42,M.42,Koral Beton,m3,,352300.0
43,M.43,Bata merah,buah,,700.0
44,M.44,Seng pelat,lembar,,72200.0
45,M.45,Jendela nako,buah,,400000.0
46,M.46,Kaca polos,m2,,120000.0
47,M.47,Kunci tanam,buah,,65800.0
48,M.48,Plywood 4 mm,lembar,,75000.0
49,M.49,Kaso 5/7,m3,,10214200.0
50,M.50,Multiplek tebal 4 mm,lembar,,116700.0
